,Alpha,Delta,deltaT,vx,vy,vz,x,y,z
149,-0.9810333018199561,5.009287033215737,14900.0,-3880005.8747641924,-5790389.230452639,-3177670.990781215,-3880005.8747641924,-5790389.230452639,-3177670.990781215
150,-0.9798877744020268,5.123206467067586,15000.0,-3295794.0865080254,-5885640.131021761,-3597136.137273531,-3295794.0865080254,-5885640.131021761,-3597136.137273531
151,-0.9748064380046443,5.23285896548238,15100.0,-2682251.581572586,-5928502.101473178,-3984579.4721906893,-2682251.581572586,-5928502.101473178,-3984579.4721906893
152,-0.9660564340412924,5.337954967983498,15200.0,-2044701.7940154527,-5918289.850522561,-4336348.344689515,-2044701.7940154527,-5918289.850522561,-4336348.344689515
153,-0.9539082815555069,5.438239921725817,15300.0,-1388753.9007499814,-5854811.016861582,-4649085.8635125235,-1388753.9007499814,-5854811.016861582,-4649085.8635125235
154,-0.9386375431815978,5.533542155799207,15400.0,-720249.9799179607,-5738378.549861057,-4919772.333334867,-720249.9799179607,-5738378.549861057,-4919772.333334867
155,-0.9205213573722948,5.623794810515536,15500.0,-45207.210498711094,-5569817.067756736,-5145763.90916676,-45207.210498711094,-5569817.067756736,-5145763.90916676
156,-0.8998329417333886,5.709037301116649,15600.0,630244.1558774952,-5350462.72985268,-5324827.624316918,630244.1558774952,-5350462.72985268,-5324827.624316918
157,-0.8768360544059168,5.789403187884775,15700.0,1299926.1555869705,-5082156.291880756,-5455171.9774118755,1299926.1555869705,-5082156.291880756,-5455171.9774118755
158,-0.8517804841427269,5.865100979956228,15800.0,1957680.76570978,-4767229.169165681,-5535472.326131673,1957680.76570978,-4767229.169165681,-5535472.326131673
159,-0.8248989715505142,5.936392971935381,15900.0,2597438.69105026,-4408482.505051365,-5564890.429310613,2597438.69105026,-4408482.505051365,-5564890.429310613
160,-0.7964055394617798,6.003575456537375,16000.0,3213288.1488750083,-4009159.353436878,-5543087.594437507,3213288.1488750083,-4009159.353436878,-5543087.594437507
161,-0.7664950422695389,6.066961973179848,16100.0,3799541.5328467893,-3572910.935398615,-5470231.121456146,3799541.5328467893,-3572910.935398615,-5470231.121456146
162,-0.7353434815401139,6.126870506756196,16200.0,4350801.666172651,-3103755.3551141117,-5346993.512531617,4350801.666172651,-3103755.3551141117,-5346993.512531617
163,-0.7031091030062913,6.183613852398377,16300.0,4862020.346615451,-2606033.9510379415,-5174545.1186212,4862020.346615451,-2606033.9510379415,-5174545.1186212
164,-0.6699336367093263,6.237493491873482,16400.0,5328555.773126636,-2084360.3468394363,-4954539.374331219,5328555.773126636,-2084360.3468394363,-4954539.374331219
165,-0.6359438240203914,0.005610381338602489,16500.0,5746221.584802474,-1543567.9328545548,-4689091.822908183,5746221.584802474,-1543567.9328545548,-4689091.822908183
166,-0.6012529383426424,0.05460423893229347,16600.0,6111329.878895244,-988654.3381386236,-4380752.935500616,6111329.878895244,-988654.3381386236,-4380752.935500616
167,-0.565962268753201,0.10154110533261841,16700.0,6420726.654571708,-424724.6805993342,-4032475.5041630296,6420726.654571708,-424724.6805993342,-4032475.5041630296
168,-0.5301625148289104,0.14665491680177348,16800.0,6671819.382851671,143065.44082421437,-3647577.333868564,6671819.382851671,143065.44082421437,-3647577.333868564
169,-0.4939350714615316,0.19016316602265762,16900.0,6862596.500958279,709566.1944925147,-3229700.063864618,6862596.500958279,709566.1944925147,-3229700.063864618
170,-0.457353198645566,0.23226826325766792,17000.0,6991638.839529844,1269688.0603489233,-2782765.000147944,6991638.839529844,1269688.0603489233,-2782765.000147944
171,-0.4204830814526134,0.27315913006736214,17100.0,7058123.187109513,1818453.8258375092,-2310926.8588056057,7058123.187109513,1818453.8258375092,-2310926.8588056057
172,-0.38338479152092664,0.31301291923901614,17200.0,7061818.37042484,2351047.3101714444,-1818526.3062393502,7061818.37042484,2351047.3101714444,-1818526.3062393502
173,-0.3461131648317462,0.3519967954958518,17300.0,7003074.375459339,2862858.228370439,-1310042.1402290699,7003074.375459339,2862858.228370439,-1310042.1402290699
174,-0.30871861240220716,0.3902697420281188,17400.0,6882805.149538997,3349522.747701291,-790043.8899641497,6882805.149538997,3349522.747701291,-790043.8899641497
175,-0.27124788290285884,0.42798437933145045,17500.0,6702465.814295219,3806959.4148487337,-263145.54726118734,6702465.814295219,3806959.4148487337,-263145.54726118734
176,-0.23374478692129552,0.465288810415756,17600.0,6464025.0125372,4231400.38721431,266039.09950672195,6464025.0125372,4231400.38721431,266039.09950672195
